"Reference";"Value";"Qty";"Descripción"
"C1-C2";"10 uF";"2";"Capacitor Electrolytic 10 uF 100V 860020772010"
"C3-C4-C5-C6-C12-C13-C15-C16-C17-C19-C20-C21-C22-C23-C31-C32-C51";"4,7 uF";"17";"Capacitor Ceramic 4,7 uF 1206 100V"
"C7-C8-C9-C11";"220 uF";"4";"Capacitor Electrolytic 220 uF 100V 860020775019"
"C24-C25-C27-C28-C33-C34-C36-C37-C38-C39-C40-C43-C44-C45-C46-C47";"0,1 uF";"16";"Capacitor Ceramic 0.1 uF 0603"
"C26";"0,1 uF";"1";"Capacitor Ceramic 0.1 uF 1206"
"C29-C30-C49";"1 uF";"3";"Capacitor Ceramic 1 uF 1206"
"C35-C41-C42-C48-C50";"10 nF";"5";"Capacitor Ceramic 10 nF 0603"
"D1-D2-D3-D4";"LED RED";"4";"Light Emitting Diode Red"
"D5-D6-D7";"BAT43W-HE3-08";"3";"Diode BAT43W-HE3-08"
"J1";"43045-0212";"1";"Molex Connector Socket 1x02 Vertical"
"J2-J3";"MSTBVA 2,5/ 2-G-5,08";"2";"Phoenix Contact Connector Terminal Block 1x02 Vertical"
"J4";"878311620";"1";"Molex Connector Socket 2x08 Vertical"
"L1";"330 uH";"1";"Inductor 330 uH 74437529203331"
"Q1-Q2";"ISC022N10NM6";"2";"Infineon OptiMOS TM6 Power Mosfet N-Channel 100V"
"R4-R5-R6-R7-R15-R16-R22-R33";"1 kOhm";"8";"Resistor 1 kOhm 0603"
"R8-R9-R17-R18-R19-R20-R21-R23-R24-R25-R26-R27-R30-R31-R32-R34-R35-R36-R37-R38-R41-R42";"10 kOhm";"22";"Resistor 10 kOhm 0603"
"R10-R11-R12";"4,7 Ohm";"3";"Resistor 4.7 Ohm 2512"
"R13-R14";"2,2 Ohm";"2";"Resistor 2.2 Ohm 2512"
"R28-R39";"1.37 kOhm";"2";"Resistor 1.37 kOhm 0603"
"R29-R40";"2.67 kOhm";"2";"Resistor 2.67 kOhm 0603"
"U3-U4";"ADUM4146BRWZ";"2";"Analog Devices High Voltage Isolated Bipolar Gate Driver"
"U5-U9";"TMCS1100A4QDRQ1";"2";"Texas Instrument High-Precision Basic Isolation Hall-Effect Current"
"U6-U10";"AMC1211AQDWVQ1";"2";"Texas Instrument Isolator Amplifier, 1 Channel, 1 Gain"
"U7-U8-U11-U12";"OPA2992QDGKRQ1";"4";"Texas Instrument Operational Amplifier, 2 Channel, 2.7 to 40 V, 10 MHz"
"U13";"LT1761ES5-5#TRPBF";"1";"Analog Devices Low Noise 5V 100mA LDO Regulator"
